"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
193,15,"AUT","Austria",1,"Burgenland","","Burgenlândia","Bundesländ|Länd","State"
194,15,"AUT","Austria",2,"Kärnten","","Carinthia|Caríntia|Carintia","Bundesländ|Länd","State"
195,15,"AUT","Austria",3,"Niederösterreich","","Lower Austria|Baixa-Áustria|Baja Austria|Niederdonau|Österreich unter der Enns","Bundesländ|Länd","State"
196,15,"AUT","Austria",4,"Oberösterreich","","Upper Austria|Alta-Áustria|Alta Austria|Österreich ober der Enns|Oberösterreich","Bundesländ|Länd","State"
197,15,"AUT","Austria",5,"Salzburg","","Salzburgo","Bundesländ|Länd","State"
198,15,"AUT","Austria",6,"Steiermark","","Styria|Est¡ria|Estiria","Bundesländ|Länd","State"
199,15,"AUT","Austria",7,"Tirol","","Tyrol","Bundesländ|Länd","State"
200,15,"AUT","Austria",8,"Vorarlberg","","","Bundesländ|Länd","State"
201,15,"AUT","Austria",9,"Wien","","Vienna|Viena","Bundesländ|Länd","State"
